Type,SerialNumber,Tracer,Class,MC,ProductionOrder,SalesOrder,PurchaseOrder,User,LastUpdated,Qty,0,1,2,3,4,5,6,7,8,9,10
SSCO,KIT00095976,10236068,7358-K708-V001,7358-K708-V001,118906513,7040839376,2011816426,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,KIT00095977,10236075,7358-K708-V001,7358-K708-V001,118906513,7040839376,2011816426,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,KIT00096002,10236225,7358-K708-V001,7358-K708-V001,118906513,7040839376,2011816426,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,KIT00096013,10236289,7358-K708-V001,7358-K708-V001,118906513,7040839376,2011816426,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,KIT00096017,10236305,7358-K708-V001,7358-K708-V001,118906513,7040839376,2011816426,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,KIT00096018,10236309,7358-K708-V001,7358-K708-V001,118906513,7040839376,2011816426,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,KIT00096021,10236321,7358-K708-V001,7358-K708-V001,118906513,7040839376,2011816426,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,KIT00096019,10236313,7358-K708-V001,7358-K708-V001,118906513,7040839376,2011816426,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,KIT00096027,10236345,7358-K708-V001,7358-K708-V001,118906513,7040839376,2011816426,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,KIT00096025,10236337,7358-K708-V001,7358-K708-V001,118906513,7040839376,2011816426,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614021,10237639,7360,7360MC2027,118943776,7041047375,2011822204,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614028,10237667,7360,7360MC2027,118943776,7041047375,2011822204,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614026,10237659,7360,7360MC2027,118943776,7041047375,2011822204,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614020,10237635,7360,7360MC2027,118943776,7041047375,2011822204,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614048,10237668,7360,7360MC2027,118943777,7041047509,2011822209,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614054,10237682,7360,7360MC2027,118943777,7041047509,2011822209,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614065,10237637,7360,7360MC2027,118943728,7041047365,2011822183,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614019,10237631,7360,7360MC2027,118943776,7041047375,2011822204,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614001,10237658,7360,7360MC2027,118943775,7041047371,2011822196,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614006,10237562,7360,7360MC2027,118943776,7041047375,2011822204,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614042,10237644,7360,7360MC2027,118943777,7041047509,2011822209,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614024,10237651,7360,7360MC2027,118943776,7041047375,2011822204,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614051,10237676,7360,7360MC2027,118943777,7041047509,2011822209,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614044,10237652,7360,7360MC2027,118943777,7041047509,2011822209,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614036,10237620,7360,7360MC2027,118943777,7041047509,2011822209,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614007,10237568,7360,7360MC2027,118943776,7041047375,2011822204,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614052,10237678,7360,7360MC2027,118943777,7041047509,2011822209,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614049,10237672,7360,7360MC2027,118943777,7041047509,2011822209,3238473,2023-10-01,1,,,,,,,,,,,
SSCO,57-60614251,10237841,7360,7360MC2091,118943774,7041080889,2011822822,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614265,10237869,7360,7360MC2091,118943774,7041080889,2011822822,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614260,10237859,7360,7360MC2091,118943774,7041080889,2011822822,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614245,10237829,7360,7360MC2091,118943774,7041080889,2011822822,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614259,10237857,7360,7360MC2091,118943774,7041080889,2011822822,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614249,10237837,7360,7360MC2091,118943774,7041080889,2011822822,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614062,10237625,7360,7360MC2027,118943728,7041047365,2011822183,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614071,10237661,7360,7360MC2027,118943728,7041047365,2011822183,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614060,10237617,7360,7360MC2027,118943728,7041047365,2011822183,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614264,10237867,7360,7360MC2091,118943774,7041080889,2011822822,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614236,10237860,7360,7360MC2091,118943773,7041080888,2011822824,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614055,10237589,7360,7360MC2027,118943728,7041047365,2011822183,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614072,10237665,7360,7360MC2027,118943728,7041047365,2011822183,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614058,10237607,7360,7360MC2027,118943728,7041047365,2011822183,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614262,10237863,7360,7360MC2091,118943774,7041080889,2011822822,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614263,10237865,7360,7360MC2091,118943774,7041080889,2011822822,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614243,10237825,7360,7360MC2091,118943774,7041080889,2011822822,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614250,10237839,7360,7360MC2091,118943774,7041080889,2011822822,3479284,2023-09-01,1,,,,,,,,,,,
SSCO,57-60614261,10237861,7360,7360MC2091,118943774,7041080889,2011822822,2200631,2023-09-01,1,,,,,,,,,,,
ATM,57-60614723,10239555,6623,6623MC2787,118978260,7041066053,2011822445,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60613894,10237308,6682,6682MC2303,118941359,7041032790,2011821830,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60614764,10239597,6627,6627MC2694,118977425,7040999195,2011820918,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60614770,10239603,6688,6688MC2541,118977428,7040962170,2011819949,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60613891,10237305,6682,6682MC2303,118941359,7041032790,2011821830,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60613882,10237299,6682,6682MC2482,118941362,7041058495,2011822356,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60614765,10239595,6627,6627MC2721,118977426,7041066055,2011822446,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60614773,10239606,6688,6688MC2541,118977428,7040962170,2011819949,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60613869,10237295,6688,6688MC2550,118941357,7041109998,2011823658,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60614345,10238638,6688,6688MC2499,118945358,7041119571,2011823884,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60614349,10238626,6627,6627MC2721,118945357,7041058407,2011822354,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60614769,10239602,6688,6688MC2541,118977428,7040962170,2011819949,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60614771,10239604,6688,6688MC2541,118977428,7040962170,2011819949,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60613889,10237303,6682,6682MC2303,118941359,7041032790,2011821830,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60614777,10239610,6688,6688MC2541,118977428,7040962170,2011819949,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60614767,10239599,6688,6688MC2541,118977428,7040962170,2011819949,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60614778,10239611,6688,6688MC2541,118977428,7040962170,2011819949,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60614761,10239598,6623,6623MC2544,118977423,7041118744,2011823872,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60614724,10239561,6623,6623MC2787,118978260,7041066053,2011822445,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60613890,10237304,6682,6682MC2303,118941359,7041032790,2011821830,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60613893,10237307,6682,6682MC2303,118941359,7041032790,2011821830,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60614774,10239607,6688,6688MC2541,118977428,7040962170,2011819949,3238473,2023-11-01,1,,,,,,,,,,,
ATM,57-60614775,10239608,6688,6688MC2541,118977428,7040962170,2011819949,3238473,2023-11-01,1,,,,,,,,,,,
