MetricType,CreationDate,MetricFrom,MetricTo,BaseFile,CompareFile
Quarterly,2021_04_12,Wk14,Wk15,../../wsps_final2\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final2\2021_04_12 Wk15 Weekly Supply Plan vFinal.csv
Quarterly,2021_04_19,Wk14,Wk16,../../wsps_final2\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final2\2021_04_19 Wk16 Weekly Supply Plan vFinal.csv
Quarterly,2021_04_26,Wk14,Wk17,../../wsps_final2\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final2\2021_04_26 Wk17 Weekly Supply Plan vFinal.csv
Quarterly,2021_05_03,Wk14,Wk18,../../wsps_final2\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final2\2021_05_03 Wk18 Weekly Supply Plan vFinal.csv
Quarterly,2021_05_10,Wk14,Wk19,../../wsps_final2\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final2\2021_05_10 Wk19 Weekly Supply Plan vFinal.csv
Quarterly,2021_05_17,Wk14,Wk20,../../wsps_final2\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final2\2021_05_17 Wk20 Weekly Supply Plan vFinal.csv
Quarterly,2021_05_24,Wk14,Wk21,../../wsps_final2\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final2\2021_05_24 Wk21 Weekly Supply Plan vFinal.csv
Quarterly,2021_05_31,Wk14,Wk22,../../wsps_final2\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final2\2021_05_31 Wk22 Weekly Supply Plan vFinal.csv
Quarterly,2021_06_07,Wk14,Wk23,../../wsps_final2\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final2\2021_06_07 Wk23 Weekly Supply Plan vFinal.csv
Quarterly,2021_06_14,Wk14,Wk24,../../wsps_final2\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final2\2021_06_14 Wk24 Weekly Supply Plan vFinal.csv
Quarterly,2021_06_21,Wk14,Wk25,../../wsps_final2\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final2\2021_06_21 Wk25 Weekly Supply Plan vFinal.csv
Quarterly,2021_06_28,Wk14,Wk26,../../wsps_final2\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final2\2021_06_28 Wk26 Weekly Supply Plan vFinal.csv
Quarterly,2021_07_05,Wk14,Wk27,../../wsps_final2\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final2\2021_07_05 Wk27 Weekly Supply Plan vFinal.csv
