MetricType,CreationDate,MetricFrom,MetricTo,BaseFile,CompareFile
Weekly,2020_01_13,Wk1,Wk2,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_01_06 Wk01 Weekly Supply Plan vFinal.csv,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_01_13 Wk02 Weekly Supply Plan vFinal.csv
Weekly,2020_01_20,Wk2,Wk3,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_01_13 Wk02 Weekly Supply Plan vFinal.csv,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_01_20 Wk03 Weekly Supply Plan vFinal.csv
Weekly,2020_01_27,Wk3,Wk4,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_01_20 Wk03 Weekly Supply Plan vFinal.csv,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_01_27 Wk04 Weekly Supply Plan vFinal.csv
Weekly,2020_02_03,Wk4,Wk5,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_01_27 Wk04 Weekly Supply Plan vFinal.csv,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_02_03 Wk05 Weekly Supply Plan vFinal.csv
Weekly,2020_02_10,Wk5,Wk6,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_02_03 Wk05 Weekly Supply Plan vFinal.csv,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_02_10 Wk06 Weekly Supply Plan vFinal.csv
Weekly,2020_02_17,Wk6,Wk7,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_02_10 Wk06 Weekly Supply Plan vFinal.csv,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_02_17 Wk07 Weekly Supply Plan vFinal.csv
Weekly,2020_02_24,Wk7,Wk8,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_02_17 Wk07 Weekly Supply Plan vFinal.csv,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_02_24 Wk08 Weekly Supply Plan.csv
Weekly,2020_03_02,Wk8,Wk9,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_02_24 Wk08 Weekly Supply Plan.csv,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_03_02 Wk09 Weekly Supply Plan v6.csv
Weekly,2020_03_09,Wk9,Wk10,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_03_02 Wk09 Weekly Supply Plan v6.csv,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_03_09 Wk10 Weekly Supply Plan v2.csv
Weekly,2020_03_16,Wk10,Wk11,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_03_09 Wk10 Weekly Supply Plan v2.csv,C:/NCR/wsp_compare_log/wsps_historic_out2/2020_03_16 Wk11 Weekly Supply Plan v5.csv
