Date,Aged Flag,Month Flag,Accounting Period,Week,WeekNum,Start Date,End Date
01-Jan-10,N,,201001,,1,,
02-Jan-10,N,,201001,,1,,
03-Jan-10,N,,201001,,2,,
04-Jan-10,N,,201001,,2,,
05-Jan-10,N,,201001,,2,,
06-Jan-10,N,,201001,,2,,
07-Jan-10,N,,201001,,2,,
08-Jan-10,N,,201001,,2,,
09-Jan-10,N,,201001,,2,,
10-Jan-10,N,,201001,,3,,
11-Jan-10,N,,201001,,3,,
12-Jan-10,N,,201001,,3,,
13-Jan-10,N,,201001,,3,,
14-Jan-10,N,,201001,,3,,
15-Jan-10,N,,201001,,3,,
16-Jan-10,N,,201001,,3,,
17-Jan-10,N,,201001,,4,,
18-Jan-10,N,,201001,,4,,
19-Jan-10,N,,201001,,4,,
20-Jan-10,N,,201001,,4,,
21-Jan-10,N,,201001,,4,,
22-Jan-10,N,,201001,,4,,
23-Jan-10,N,,201001,,4,,
24-Jan-10,N,,201001,,5,,
25-Jan-10,N,,201001,,5,,
26-Jan-10,N,,201001,,5,,
27-Jan-10,N,,201001,,5,,
28-Jan-10,N,,201001,,5,,
29-Jan-10,N,,201001,,5,,
30-Jan-10,N,,201002,,5,,
31-Jan-10,N,,201002,,6,,
01-Feb-10,N,,201002,,6,,
02-Feb-10,N,,201002,,6,,
03-Feb-10,N,,201002,,6,,
04-Feb-10,N,,201002,,6,,
05-Feb-10,N,,201002,,6,,
06-Feb-10,N,,201002,,6,,
07-Feb-10,N,,201002,,7,,
08-Feb-10,N,,201002,,7,,
09-Feb-10,N,,201002,,7,,
10-Feb-10,N,,201002,,7,,
11-Feb-10,N,,201002,,7,,
12-Feb-10,N,,201002,,7,,
13-Feb-10,N,,201002,,7,,
14-Feb-10,N,,201002,,8,,
15-Feb-10,N,,201002,,8,,
16-Feb-10,N,,201002,,8,,
17-Feb-10,N,,201002,,8,,
18-Feb-10,N,,201002,,8,,
19-Feb-10,N,,201002,,8,,
20-Feb-10,N,,201002,,8,,
21-Feb-10,N,,201002,,9,,
22-Feb-10,N,,201002,,9,,
23-Feb-10,N,,201002,,9,,
24-Feb-10,N,,201002,,9,,
25-Feb-10,N,,201002,,9,,
26-Feb-10,N,,201002,,9,,
27-Feb-10,N,,201003,,9,,
28-Feb-10,N,,201003,,10,,
01-Mar-10,N,,201003,,10,,
02-Mar-10,N,,201003,,10,,
03-Mar-10,N,,201003,,10,,
04-Mar-10,N,,201003,,10,,
05-Mar-10,N,,201003,,10,,
06-Mar-10,N,,201003,,10,,
07-Mar-10,N,,201003,,11,,
08-Mar-10,N,,201003,,11,,
09-Mar-10,N,,201003,,11,,
10-Mar-10,N,,201003,,11,,
11-Mar-10,N,,201003,,11,,
12-Mar-10,N,,201003,,11,,
13-Mar-10,N,,201003,,11,,
14-Mar-10,N,,201003,,12,,
15-Mar-10,N,,201003,,12,,
16-Mar-10,N,,201003,,12,,
17-Mar-10,N,,201003,,12,,
18-Mar-10,N,,201003,,12,,
19-Mar-10,N,,201003,,12,,
20-Mar-10,N,,201003,,12,,
21-Mar-10,N,,201003,,13,,
22-Mar-10,N,,201003,,13,,
23-Mar-10,N,,201003,,13,,
24-Mar-10,N,,201003,,13,,
25-Mar-10,N,,201003,,13,,
26-Mar-10,N,,201003,,13,,
27-Mar-10,N,,201003,,13,,
28-Mar-10,N,,201003,,14,,
29-Mar-10,N,,201004,,14,,
30-Mar-10,N,,201004,,14,,
31-Mar-10,N,,201004,,14,,
01-Apr-10,N,,201004,,14,,
02-Apr-10,N,,201004,,14,,
03-Apr-10,N,,201004,,14,,
04-Apr-10,N,,201004,,15,,
05-Apr-10,N,,201004,,15,,
06-Apr-10,N,,201004,,15,,
07-Apr-10,N,,201004,,15,,
08-Apr-10,N,,201004,,15,,
09-Apr-10,N,,201004,,15,,
10-Apr-10,N,,201004,,15,,
11-Apr-10,N,,201004,,16,,
12-Apr-10,N,,201004,,16,,
13-Apr-10,N,,201004,,16,,
14-Apr-10,N,,201004,,16,,
15-Apr-10,N,,201004,,16,,
16-Apr-10,N,,201004,,16,,
17-Apr-10,N,,201004,,16,,
18-Apr-10,N,,201004,,17,,
19-Apr-10,N,,201004,,17,,
20-Apr-10,N,,201004,,17,,
21-Apr-10,N,,201004,,17,,
22-Apr-10,N,,201004,,17,,
23-Apr-10,N,,201004,,17,,
24-Apr-10,N,,201005,,17,,
25-Apr-10,N,,201005,,18,,
26-Apr-10,N,,201005,,18,,
27-Apr-10,N,,201005,,18,,
28-Apr-10,N,,201005,,18,,
29-Apr-10,N,,201005,,18,,
30-Apr-10,N,,201005,,18,,
01-May-10,N,,201005,,18,,
02-May-10,N,,201005,,19,,
03-May-10,N,,201005,,19,,
04-May-10,N,,201005,,19,,
05-May-10,N,,201005,,19,,
06-May-10,N,,201005,,19,,
07-May-10,N,,201005,,19,,
08-May-10,N,,201005,,19,,
09-May-10,N,,201005,,20,,
10-May-10,N,,201005,,20,,
11-May-10,N,,201005,,20,,
12-May-10,N,,201005,,20,,
13-May-10,N,,201005,,20,,
14-May-10,N,,201005,,20,,
15-May-10,N,,201005,,20,,
16-May-10,N,,201005,,21,,
17-May-10,N,,201005,,21,,
18-May-10,N,,201005,,21,,
19-May-10,N,,201005,,21,,
20-May-10,N,,201005,,21,,
21-May-10,N,,201005,,21,,
22-May-10,N,,201005,,21,,
23-May-10,N,,201005,,22,,
24-May-10,N,,201005,,22,,
25-May-10,N,,201005,,22,,
26-May-10,N,,201005,,22,,
27-May-10,N,,201005,,22,,
28-May-10,N,,201005,,22,,
29-May-10,N,,201006,,22,,
30-May-10,N,,201006,,23,,
31-May-10,N,,201006,,23,,
01-Jun-10,N,,201006,,23,,
02-Jun-10,N,,201006,,23,,
03-Jun-10,N,,201006,,23,,
04-Jun-10,N,,201006,,23,,
05-Jun-10,N,,201006,,23,,
06-Jun-10,N,,201006,,24,,
07-Jun-10,N,,201006,,24,,
08-Jun-10,N,,201006,,24,,
09-Jun-10,N,,201006,,24,,
10-Jun-10,N,,201006,,24,,
11-Jun-10,N,,201006,,24,,
12-Jun-10,N,,201006,,24,,
13-Jun-10,N,,201006,,25,,
14-Jun-10,N,,201006,,25,,
15-Jun-10,N,,201006,,25,,
16-Jun-10,N,,201006,,25,,
17-Jun-10,N,,201006,,25,,
18-Jun-10,N,,201006,,25,,
19-Jun-10,N,,201006,,25,,
20-Jun-10,N,,201006,,26,,
21-Jun-10,N,,201006,,26,,
22-Jun-10,N,,201006,,26,,
23-Jun-10,N,,201006,,26,,
24-Jun-10,N,,201006,,26,,
25-Jun-10,N,,201006,,26,,
26-Jun-10,N,,201006,,26,,
27-Jun-10,N,,201006,,27,,
28-Jun-10,N,,201007,,27,,
29-Jun-10,N,,201007,,27,,
30-Jun-10,N,,201007,,27,,
01-Jul-10,N,,201007,,27,,
02-Jul-10,N,,201007,,27,,
03-Jul-10,N,,201007,,27,,
04-Jul-10,N,,201007,,28,,
05-Jul-10,N,,201007,,28,,
