Year,Accounting Period,WeekNum,Count
2019,201901,1,4
2019,201901,2,4
2019,201901,3,4
2019,201901,4,4
2019,201902,5,4
2019,201902,6,4
2019,201902,7,4
2019,201902,8,4
2019,201903,9,5
2019,201903,10,5
2019,201903,11,5
2019,201903,12,5
2019,201903,13,5
2019,201904,14,4
2019,201904,15,4
2019,201904,16,4
2019,201904,17,4
2019,201905,18,4
2019,201905,19,4
2019,201905,20,4
2019,201905,21,4
2019,201906,22,5
2019,201906,23,5
2019,201906,24,5
2019,201906,25,5
2019,201906,26,5
2019,201907,27,4
2019,201907,28,4
2019,201907,29,4
2019,201907,30,4
2019,201908,31,5
2019,201908,32,5
2019,201908,33,5
2019,201908,34,5
2019,201908,35,5
2019,201909,36,4
2019,201909,37,4
2019,201909,38,4
2019,201909,39,4
2019,201910,40,4
2019,201910,41,4
2019,201910,42,4
2019,201910,43,4
2019,201911,44,5
2019,201911,45,5
2019,201911,46,5
2019,201911,47,5
2019,201911,48,5
2019,201912,49,5
2019,201912,50,5
2019,201912,51,5
2019,201912,52,5
2019,201912,53,5
2020,202001,1,5
2020,202001,2,5
2020,202001,3,5
2020,202001,4,5
2020,202001,5,5
2020,202002,6,4
2020,202002,7,4
2020,202002,8,4
2020,202002,9,4
2020,202003,10,4
2020,202003,11,4
2020,202003,12,4
2020,202003,13,4
2020,202004,14,5
2020,202004,15,5
2020,202004,16,5
2020,202004,17,5
2020,202004,18,5
2020,202005,19,4
2020,202005,20,4
2020,202005,21,4
2020,202005,22,4
2020,202006,23,4
2020,202006,24,4
2020,202006,25,4
2020,202006,26,4
2020,202007,27,5
2020,202007,28,5
2020,202007,29,5
2020,202007,30,5
2020,202007,31,5
2020,202008,32,4
2020,202008,33,4
2020,202008,34,4
2020,202008,35,4
2020,202009,36,5
2020,202009,37,5
2020,202009,38,5
2020,202009,39,5
2020,202009,40,5
2020,202010,41,4
2020,202010,42,4
2020,202010,43,4
2020,202010,44,4
2020,202011,45,4
2020,202011,46,4
2020,202011,47,4
2020,202011,48,4
2020,202012,49,4
2020,202012,50,4
2020,202012,51,4
2020,202012,52,4
