Source,offer_pf,Class,make/buy,mapping_type
BRI,NON-Manufacturing Items,7777,buy,source_class
BRI,NON-Manufacturing Items,7779,make,source_class
BRI,Optic,6001,buy,source_class
BRI,Optic,6002,buy,source_class
BRI,Optic,6003,buy,source_class
BRI,Optic,6005,buy,source_class
BRI,OTHER,1626,make,source_class
BRI,OTHER,1667,make,source_class
BRI,PERIPHERALS,1635,make,source_class
BRI,PERIPHERALS,1642,make,source_class
BRI,PERIPHERALS,1646,make,source_class
BRI,PERIPHERALS,1647,make,source_class
BRI,PERIPHERALS,1651,make,source_class
BRI,PERIPHERALS,1652,make,source_class
BRI,PERIPHERALS,1924,make,source_class
BRI,PERIPHERALS,1930,make,source_class
BRI,PERIPHERALS,2181,buy,source_class
BRI,PERIPHERALS,2186,buy,source_class
BRI,POS,4505,buy,source_class
BRI,POS,7602,buy,source_class
BRI,POS,7603,buy,source_class
BRI,POS,7606,buy,source_class
BRI,POS,7607,buy,source_class
BRI,POS,7701,buy,source_class
BRI,POS,7702,buy,source_class
BRI,POS,7703,buy,source_class
BRI,POS,7734,make,source_class
BRI,POS,7736,buy,source_class
BRI,POS,7745,make,source_class
BRI,POS,7746,make,source_class
BRI,POS,7757,buy,source_class
BRI,POS,7761,make,source_class
BRI,POS,7772,make,source_class
BRI,POS,7773,make,source_class
BRI,POS,7791,make,source_class
BRI,Printer,7127,make,source_class
BRI,Printer,7128,make,source_class
BRI,Printer,7130,make,source_class
BRI,Printer,7131,make,source_class
BRI,Printer,7132,make,source_class
BRI,Printer,7137,make,source_class
BRI,Printer,7138,make,source_class
BRI,Printer,7147,make,source_class
BRI,Printer,7148,make,source_class
BRI,Printer,7167,buy,source_class
BRI,Printer,7198,buy,source_class
BRI,Printer,7199,buy,source_class
BRI,Scanner,7812,buy,source_class
BRI,Scanner,7840,buy,source_class
BRI,Scanner,7874,buy,source_class
BRI,Scanner,7877,buy,source_class
BRI,Scanner,7878,buy,source_class
BRI,Scanner,7879,buy,source_class
BRI,Scanner,7884,buy,source_class
BRI,SCO,7358,buy,source_class
BRI,SCO,7360,buy,source_class
BRI,SERVERS,1611,make,source_class
BRI,SERVERS,1612,make,source_class
BRI,SERVERS,1614,make,source_class
BRI,SERVERS,1615,make,source_class
BRI,SERVERS,1616,make,source_class
BRI,SERVERS,1657,make,source_class
BRI,SERVERS,1659,make,source_class
BRI,,1416,buy,source_class
BRI,,1432,buy,source_class
BRI,,1447,buy,source_class
BRI,,1449,buy,source_class
BRI,,1618,buy,source_class
BRI,,1619,buy,source_class
BRI,,1622,buy,source_class
BRI,,1625,buy,source_class
BRI,,1629,buy,source_class
BRI,,1632,buy,source_class
BRI,,1633,buy,source_class
BRI,,1634,buy,source_class
BRI,,1636,buy,source_class
BRI,,1639,buy,source_class
BRI,,1640,buy,source_class
BRI,,1641,buy,source_class
BRI,,1656,buy,source_class
BRI,,1663,buy,source_class
BRI,,1664,buy,source_class
BRI,,1666,buy,source_class
BRI,,1668,buy,source_class
BRI,,1670,buy,source_class
BRI,,1673,buy,source_class
BRI,,1674,buy,source_class
BRI,,1675,buy,source_class
BRI,,1676,buy,source_class
BRI,,1678,buy,source_class
BRI,,1910,buy,source_class
BRI,,2161,buy,source_class
BRI,,2163,buy,source_class
BRI,,2164,buy,source_class
BRI,,2168,buy,source_class
BRI,,2169,buy,source_class
BRI,,2176,buy,source_class
BRI,,2177,buy,source_class
BRI,,2178,buy,source_class
BRI,,2246,buy,source_class
BRI,,2247,buy,source_class
BRI,,2357,buy,source_class
BRI,,2394,buy,source_class
BRI,,5055,buy,source_class
BRI,,5801,buy,source_class
BRI,,7136,buy,source_class
BRI,,7139,buy,source_class
BRI,,7142,buy,source_class
BRI,,7182,buy,source_class
BRI,,7346,buy,source_class
BRI,,7403,buy,source_class
BRI,,7459,buy,source_class
BRI,,7743,buy,source_class
BRI,,7752,buy,source_class
BRI,,7754,buy,source_class
BRI,,7797,buy,source_class
BRI,,7932,buy,source_class
BRI,,7933,buy,source_class
BRI,,7949,buy,source_class
BRI,,9010,buy,source_class
BRI,,9700,buy,source_class
BRI,Display,5907,buy,source_class
BRI,Display,5910,buy,source_class
BRI,Display,5915,buy,source_class
BRI,Display,5916,buy,source_class
BRI,Display,5931,buy,source_class
BRI,Display,5934,buy,source_class
BRI,Display,5968,buy,source_class
BRI,Display,5975,buy,source_class
BRI,Display,5976,buy,source_class
BRI,Display,5977,buy,source_class
BRI,Display,5985,buy,source_class
BRI,Input Belts,7344,buy,source_class
BRI,,1925,buy,source_class
BRI,,2368,buy,source_class
BRI,,7728,buy,source_class
BRI,,2245,buy,source_class
BRI,,6932,buy,source_class
BRI,,5932,buy,source_class
BRI,,7705,buy,source_class
BRI,,2162,buy,source_class
BRI,,7892,buy,source_class
BRI,,7197,buy,source_class
BRI,,7168,buy,source_class
BRI,,1621,buy,source_class
BRI,,7744,buy,source_class
BRI,,7825,buy,source_class
BRI,,2356,buy,source_class
BRI,,7169,buy,source_class
BRI,,2171,buy,source_class
BRI,,7837,buy,source_class
BRI,,5954,buy,source_class
BRI,,2189,buy,source_class
BRI,,3202,buy,source_class
BRI,,7431,buy,source_class
BRI,,1637,buy,source_class
